epoch,train_loss,val_loss
21,4.629281870524088,97.84949115117391
22,4.554443057378133,97.6374737739563
23,4.526317087809245,104.87920064926148
24,4.510002613067627,94.26484292348226
25,4.487217919031779,98.15300401051839
26,4.465683666865031,100.22464071909586
27,4.469097073872884,95.29099423090616
28,4.444196510314941,95.82520411809286
29,4.409288390477498,97.7549740155538
30,4.3976014137268065,103.50374717712403
31,4.384958442052206,100.50610065460205
32,4.363285748163859,97.9910764058431
33,4.345573250452677,94.04764178593953
34,4.344752756754557,95.7148331006368
35,4.313549375534057,92.7472672144572
36,4.308550580342611,98.76721893946329
37,4.285214376449585,96.83770408630372
38,4.2505609353383385,96.48520914713542
39,4.237267605463663,97.82381143569947
40,4.226356585820516,95.0655067761739
41,4.2130266984303795,96.80539315541586
42,4.183078670501709,98.06827583312989
43,4.198245573043823,96.05971800486246
44,4.151443036397298,94.49856726328532
45,4.153984085718791,92.57854096094768
46,4.1175325552622475,90.9058131535848
47,4.0910626411437985,97.60266571044922
48,4.064963022867839,90.2171241760254
49,4.0676894346872965,93.0397001584371
50,4.0762014547983805,92.7906715075175
51,4.0396043459574384,93.36940304438274
52,4.031613556543986,94.59369497299194
53,4.000549062093099,94.03018522262573
54,3.9963868618011475,92.00816768010458
55,3.977398379643758,90.08198130925497
56,3.9648251215616863,92.75895709991455
57,3.945099719365438,93.72654021581015
58,3.94068873723348,91.7423885345459
59,3.927415053049723,88.49851274490356
60,3.8948274771372478,90.33939456939697
61,3.8801024595896405,94.15692857106527
62,3.8762202739715574,89.17193183898925
63,3.8727836449941,91.6433622678121
64,3.842676798502604,92.52196178436279
65,3.8316773732503253,89.20884408950806
66,3.8153714021046956,92.09729763666789
67,3.80898224512736,90.74264930089315
68,3.8094227790832518,94.57031736373901
69,3.786437479654948,92.03260256449381
70,3.7765250047047934,91.42608067194621
71,3.743068075180054,90.18665409088135
72,3.7393272717793784,91.58501380284628
73,3.732980664571126,94.01039543151856
74,3.710602887471517,90.46840658187867
75,3.69460244178772,90.05100472768147
76,3.6794567426045734,91.5400431950887
77,3.6692220052083333,90.38676487604776
78,3.654492219289144,90.54606850941975
79,3.63460324605306,89.38052129745483
80,3.624976952870687,91.00747915903727
81,3.615234629313151,90.30582367579142
82,3.6061184565226236,92.21499977111816
83,3.587278890609741,90.4534036954244
84,3.5746453126271565,90.77061141331991
85,3.570372152328491,90.98395833969116
86,3.5600738525390625,91.11690209706624
87,3.5276365915934247,89.86767641703288
88,3.521659183502197,92.19944203694662
89,3.51416023572286,90.8878768603007
90,3.4958330154418946,91.61696071624756
91,3.4926762262980144,89.55352430343628
92,3.4777681668599447,91.27900603612264
93,3.4730251312255858,90.8523404121399
94,3.4577654520670573,91.1516170501709
95,3.457578261693319,90.59788242975871
96,3.4464406172434487,91.03560880025228
97,3.434922933578491,91.08158359527587
98,3.429428482055664,91.51108849843344
99,3.4142288049062093,91.35690444310507
100,3.408621406555176,92.1478448232015
101,3.3988939762115478,92.33465385437012
102,3.3937557697296143,91.15465882619222
103,3.3819963455200197,91.22952829996744
104,3.3803600470225015,91.35158398946126
105,3.375554386774699,91.39078118006388
106,3.372992499669393,91.65322138468424
107,3.3644158045450845,91.30966345469157
108,3.3558149496714273,92.01035159428915
109,3.355252742767334,92.06543747584026
110,3.350568930308024,90.79075689315796
111,3.3498993714650473,91.59868307113648
112,3.3417925675710043,90.98870595296223
113,3.3448225975036623,91.66001844406128
114,3.3398825327555337,91.47256126403809
115,3.3375027974446616,91.90667867660522
116,3.326797374089559,91.65912338892619
117,3.3205841064453123,91.58635590871175
118,3.3187012672424316,91.73365745544433
119,3.318821589152018,91.66726659138997
120,3.312030140558879,92.48117437362671
